,Nom Voiture,Prix,Marque de voiture,Model,Année,Carburant,Etat,Boîte de vitesse,Couleur,Puissance fiscale,Cylindrée,Kilométrage,il y a 5 heures,il y a 9 jours,il y a 11 jours,il y a 12 jours,il y a 22 jours,il y a 21 jours,il y a un mois,il y a 25 jours,il y a 2 mois,il y a 10 jours,il y a 3 mois,il y a 13 jours,il y a 4 mois,il y a 5 mois,il y a 6 mois,il y a 7 mois,il y a 8 mois,il y a 5 jours,il y a 9 mois,il y a 10 mois,il y a un an
0,Kia sportage,,Kia,Sportage,2017,Essence,Occasion,Automatique,kaki,8,1.6,166000,,,,,,,,,,,,,,,,,,,,,
1,Citroen GS spécial,20,Citroen,Gsa,1975,Essence,Occasion,Manuelle,blanc,6,1.6,333,,,,,,,,,,,,,,,,,,,,,
2,Hyundai Tucson,,Hyundai,Tucson,2022,Essence,Occasion,Manuelle,bleu,8,1.6,60000,,,,,,,,,,,,,,,,,,,,,
3,Polo 8 1er main,1,Volkswagen,Polo,2022,Essence,Neuf,Manuelle,blanc,4,1.2,80000,,,,,,,,,,,,,,,,,,,,,
4,BMW E24,,Bmw,Autre,1985,Essence,Occasion,Manuelle,gris,14,1.6,240000,,,,,,,,,,,,,,,,,,,,,
5,Hyundai Tucson,,Hyundai,Tucson,2022,Diesel,Occasion,Automatique,gris,7,1.6,42000,,,,,,,,,,,,,,,,,,,,,
6,Audi A3,,Audi,Audi A3,2016,Essence,Occasion,Manuelle,noir,6,1.0,60000,,,,,,,,,,,,,,,,,,,,,
7,Golf 8,,Volkswagen,Golf,2021,Essence,Occasion,Manuelle,bleu,6,1.0,82000,,,,,,,,,,,,,,,,,,,,,
8,Golf 7,,Volkswagen,Golf,2019,Essence,Occasion,Automatique,blanc,6,1.2,95000,,,,,,,,,,,,,,,,,,,,,
9,Ford ecosport,,Ford,Ecosport,2021,Essence,Occasion,Manuelle,gris,7,1.0,30000,,,,,,,,,,,,,,,,,,,,,
10,Golf 8,,Volkswagen,Golf,2020,Essence,Occasion,Manuelle,gris,6,1.0,70000,,,,,,,,,,,,,,,,,,,,,
11,Fiat 500,,Fiat,500,2017,Essence,Occasion,Automatique,rouge,5,1.2,92000,,,,,,,,,,,,,,,,,,,,,
12,BMW série 4,,Bmw,Autre,2015,Essence,Occasion,Automatique,noir,10,>4.0,260000,,,,,,,,,,,,,,,,,,,,,
13,206 diesel (2003),8.000,Peugeot,206,2003,Diesel,Occasion,Manuelle,blanc,5,1.4,500000,,,,,,,,,,,,,,,,,,,,,
14,Mini country,,Mini,Autres,2015,Diesel,Occasion,Manuelle,noir,5,1.6,156000,,,,,,,,,,,,,,,,,,,,,
15,Dacia sandero,,Dacia,Sandero,2021,Essence,Occasion,Manuelle,gris,5,1.2,89000,,,,,,,,,,,,,,,,,,,,,
16,Suzuki Celerio,,Suzuki,Celerio,2022,Essence,Occasion,Manuelle,blanc,4,1.0,42000,,,,,,,,,,,,,,,,,,,,,
17,308 phase 2,32.000,Peugeot,308,2015,Essence,Occasion,Manuelle,marron,5,1.2,180000,,,,,,,,,,,,,,,,,,,,,
18,BMW série 3,,Bmw,BMW Serie 3,2011,Essence,Occasion,Manuelle,noir,7,1.6,181000,,,,,,,,,,,,,,,,,,,,,
19,Citroën c 4,,Citroen,C4,2019,Essence,Occasion,Manuelle,kaki,5,1.2,33000,,,,,,,,,,,,,,,,,,,,,
20,SsangYoung à vendre,42.000,Ssangyong,Actyon,2012,Diesel,Occasion,Manuelle,gris,7,2.5,450000,,,,,,,,,,,,,,,,,,,,,
21,Clio4,42.900,Renault,Clio,2019,Essence,Occasion,Manuelle,rouge,5,1.2,0,,,,,,,,,,,,,,,,,,,,,
22,CITROEN C3,,Citroen,C3,2019,Essence,Occasion,Manuelle,noir,4,1.0,99000,,,,,,,,,,,,,,,,,,,,,
23,Clio4,41.900,Renault,Clio,2021,Essence,Occasion,Manuelle,noir,5,1.2,0,,,,,,,,,,,,,,,,,,,,,
24,MERCEDES-BENZ C180 KIT AMG,,Mercedes,Classe C,2019,Essence,Occasion,Automatique,noir,8,1.6,120000,,,,,,,,,,,,,,,,,,,,,
25,BMW 318I SPORT,,Bmw,BMW Serie 3,2017,Essence,Occasion,Automatique,blanc,7,1.6,130000,,,,,,,,,,,,,,,,,,,,,
26,KIA PICANTO,,Kia,Picanto,2021,Essence,Occasion,Automatique,blanc,4,1.2,80000,,,,,,,,,,,,,,,,,,,,,
27,Suzuki dzire,37.900,Suzuki,Autres,2021,Essence,Occasion,Manuelle,noir,5,1.2,0,,,,,,,,,,,,,,,,,,,,,
28,AUDI Q3 45 TFSI ESSENCE HYBRID ÉLECTRIQUE,,Audi,Audi Q3,2023,Essence,Occasion,Automatique,noir,8,1.4,40000,,,,,,,,,,,,,,,,,,,,,
29,Partner sous leasing,300.000,Peugeot,Partner,2020,Diesel,Occasion,Manuelle,blanc,5,1.6,100000,,,,,,,,,,,,,,,,,,,,,
30,RANGE ROVER SPORT HSE,,Land Rover,Range Rover,2007,Diesel,Occasion,Automatique,noir,15,2.7,208000,,,,,,,,,,,,,,,,,,,,,
31,Hyundai grand i10,41.900,Hyundai,I10,2022,Essence,Occasion,Manuelle,gris,5,1.2,0,,,,,,,,,,,,,,,,,,,,,
32,HYUNDAI I20,,Hyundai,I20,2022,Essence,Occasion,Manuelle,gris,5,1.2,90000,,,,,,,,,,,,,,,,,,,,,
33,RENAULT KADJAR INTENS +,,Renault,Kadjar,2021,Essence,Occasion,Automatique,gris,7,1.3,98000,,,,,,,,,,,,,,,,,,,,,
34,MERCEDES-BENZ C180,,Mercedes,Classe C,2013,Essence,Occasion,Automatique,noir,9,1.6,180000,,,,,,,,,,,,,,,,,,,,,
35,Seat Ibiza,44.900,Seat,Ibiza,2020,Essence,Occasion,Manuelle,gris,5,1.2,0,,,,,,,,,,,,,,,,,,,,,
36,Kia picanto,33.900,Kia,Picanto,2013,Essence,Occasion,Automatique,noir,5,1.2,0,,,,,,,,,,,,,,,,,,,,,
37,Golf 6,39.000,Volkswagen,Golf,2011,Essence,Occasion,Manuelle,bleu,5,1.2,177000,,,,,,,,,,,,,,,,,,,,,
38,Hyundai grand i10,41.900,Hyundai,I10,2022,Essence,Occasion,Manuelle,blanc,5,1.2,0,,,,,,,,,,,,,,,,,,,,,
39,Clio4,39.900,Renault,Clio,2019,Essence,Occasion,Manuelle,gris,5,1.2,0,,,,,,,,,,,,,,,,,,,,,
40,Suzuki swift,39.900,Renault,Clio,2021,Essence,Occasion,Manuelle,blanc,5,1.2,0,,,,,,,,,,,,,,,,,,,,,
41,Suzuki Swift,28.900,Suzuki,Swift,2017,Essence,Occasion,Manuelle,gris,5,1.2,0,,,,,,,,,,,,,,,,,,,,,
42,PORSCHE CAYENNE,,Porsche,Cayenne,2015,Essence,Occasion,Automatique,noir,31,>4.0,155000,,,,,,,,,,,,,,,,,,,,,
