,Brand,Model,Status,Fuel_Type,Transmission,Horse_power,Age,MileagePerYear,Price
0,Alfa Romeo,156,occasion,Essence,Manuelle,8.0,24,12500,111.11
1,Alfa Romeo,159,occasion,Diesel,Manuelle,6.0,16,12500,26.5
2,Alfa Romeo,Giulietta,occasion,Essence,Manuelle,7.0,9,18891,38.0
3,Alfa Romeo,Giulietta,occasion,Essence,Automatique,9.0,9,20222,43.0
4,Alfa Romeo,Mito,occasion,Essence,Manuelle,9.0,14,10714,36.9
5,Alfa Romeo,Mito,occasion,Essence,Manuelle,5.0,13,13692,32.0
6,Alfa Romeo,Mito,occasion,Essence,Manuelle,6.0,11,16363,28.0
7,Renault,Clio,occasion,Hybride,Automatique,5.0,0,0,110.0
8,Audi,100,occasion,Diesel,Manuelle,7.0,38,3588,11.0
9,Audi,50,occasion,Essence,Manuelle,4.0,2,68179,7.0
10,Audi,80,occasion,Essence,Manuelle,7.0,35,8571,18.0
11,Audi,80,occasion,Diesel,Manuelle,8.0,44,3099,5.0
12,Audi,80,occasion,Essence,Manuelle,7.0,33,4132,17.5
13,Audi,A1,occasion,Essence,Manuelle,5.0,12,14916,35.5
14,Audi,A1,occasion,Essence,Manuelle,5.0,12,14916,35.5
15,Audi,A1,occasion,Essence,Manuelle,5.0,12,14916,35.8
16,Audi,A1,occasion,Diesel,Manuelle,6.0,12,10416,36.0
17,Audi,A1,occasion,Essence,Manuelle,5.0,12,14833,36.5
18,Audi,A3,occasion,Essence,Automatique,6.0,7,21428,68.0
19,Audi,A3,occasion,Essence,Automatique,6.0,6,20000,76.0
20,Audi,A3,occasion,Diesel,Manuelle,8.0,20,6817,19.7
21,Audi,A3,occasion,Diesel,Manuelle,6.0,16,21250,39.0
22,Audi,A3,occasion,Diesel,Manuelle,6.0,16,27500,34.0
23,Audi,A3,occasion,Essence,Manuelle,5.0,16,14375,35.5
24,Audi,A3,occasion,Essence,Manuelle,6.0,15,14666,38.0
25,Audi,A3,occasion,Diesel,Manuelle,6.0,15,17200,30.0
26,Audi,A3,occasion,Diesel,Manuelle,6.0,14,17857,37.0
27,Audi,A3,occasion,Essence,Automatique,6.0,12,11363,42.0
28,Audi,A3,occasion,Diesel,Manuelle,6.0,10,24000,54.0
29,Audi,A3,occasion,Diesel,Manuelle,5.0,10,13635,111.111
30,Audi,A3,occasion,Essence,Automatique,10.0,9,17000,67.0
31,Audi,A3,occasion,Essence,Manuelle,10.0,9,23111,55.0
32,Audi,A3,occasion,Essence,Manuelle,6.0,8,17044,55.0
33,Audi,A3,occasion,Essence,Automatique,6.0,6,24333,85.0
34,Audi,A3,occasion,Essence,Manuelle,6.0,5,21600,69.0
35,Audi,A4,occasion,Essence,Manuelle,7.0,18,16666,30.0
36,Audi,A4,occasion,Essence,Manuelle,9.0,13,10489,36.0
37,Audi,A4,occasion,Essence,Manuelle,7.0,11,22609,45.0
38,Audi,A4,occasion,Essence,Automatique,8.0,6,22726,78.0
39,Audi,A4,occasion,Essence,Manuelle,7.0,25,5454,16.5
40,Audi,A4,occasion,Essence,Manuelle,7.0,22,6198,20.0
41,Audi,A4,occasion,Essence,Manuelle,7.0,22,13636,23.0
42,Audi,A4,occasion,Essence,Manuelle,7.0,22,6198,22.0
43,Audi,A4,occasion,Diesel,Automatique,7.0,20,18500,25.5
44,Audi,A4,occasion,Diesel,Automatique,7.0,20,6817,123.456
45,Audi,A4,occasion,Diesel,Manuelle,7.0,20,6817,12.345
46,Audi,A4,occasion,Essence,Automatique,10.0,18,7575,32.0
47,Audi,A4,occasion,Essence,Manuelle,7.0,18,7575,25.0
48,Audi,A4,occasion,Essence,Manuelle,7.0,18,7575,18.0
49,Audi,A4,occasion,Diesel,Manuelle,7.0,17,8021,29.0
50,Audi,A4,occasion,Essence,Manuelle,7.0,14,25714,39.5
51,Audi,A4,occasion,Diesel,Manuelle,8.0,14,13642,42.0
52,Audi,A4,occasion,Essence,Automatique,7.0,14,12078,33.0
53,Audi,A4,occasion,Diesel,Manuelle,6.0,14,11928,50.0
54,Audi,A4,occasion,Essence,Manuelle,7.0,13,9692,37.9
55,Audi,A4,occasion,Essence,Manuelle,7.0,13,9692,37.9
56,Audi,A4,occasion,Essence,Manuelle,7.0,13,10489,29.0
57,Audi,A4,occasion,Essence,Manuelle,7.0,13,17538,36.0
58,Audi,A4,occasion,Essence,Automatique,7.0,12,22500,50.0
59,Audi,A4,occasion,Essence,Manuelle,7.0,12,14666,36.5
60,Audi,A4,occasion,Essence,Automatique,7.0,11,24545,44.0
61,Audi,A4,occasion,Essence,Manuelle,7.0,11,18454,45.0
62,Audi,A4,occasion,Essence,Manuelle,7.0,11,12396,40.0
63,Audi,A4,occasion,Essence,Manuelle,7.0,11,12396,45.0
64,Audi,A4,occasion,Essence,Manuelle,7.0,11,18545,43.0
65,Audi,A4,occasion,Essence,Manuelle,7.0,10,22000,52.0
66,Audi,A4,occasion,Essence,Automatique,8.0,5,21400,91.0
67,Audi,A4,occasion,Essence,Automatique,8.0,3,14000,120.0
