Car_Name,Brand,Model,Status,Year,Fuel_Type,Transmission,Horse_power,Cylinder,Mileage,Color,Price
alfa romeo 156 à echange ou vendre,Alfa Romeo,156,occasion,2000.0,Essence,Manuelle,8.0,1.8,300000.0,noir,111.11
Alfa Romeo 159,Alfa Romeo,159,occasion,2008.0,Diesel,Manuelle,6.0,1.9,200000.0,noir,26.5
Giulietta,Alfa Romeo,Giulietta,occasion,2015.0,Essence,Manuelle,7.0,1.4,180.0,noir,38.0
Alfa Giulietta,Alfa Romeo,Giulietta,occasion,2015.0,Essence,Automatique,9.0,1.4,182000.0,rouge,43.0
2010 Alfa Romeo MiTo quadrifoglio,Alfa Romeo,Mito,occasion,2010.0,Essence,Manuelle,9.0,1.4,150000.0,violet,36.9
Exceptionnelle,Alfa Romeo,Mito,occasion,2011.0,Essence,Manuelle,5.0,1.4,178000.0,rouge,32.0
Alfa romeo Mito,Alfa Romeo,Mito,occasion,2013.0,Essence,Manuelle,6.0,1.4,180000.0,blanc,28.0
à vendre Clio alpine v16 hybride,Renault,Clio,neuf,2024.0,Hybride,Automatique,5.0,1.6,5300.0,bleu,110.0
Audi 100 a vendre,Audi,Audi 100,occasion,1986.0,Diesel,Manuelle,7.0,1.9,1111.0,blanc,11.0
Fcr خليجية للبيع,Audi,Audi 50,occasion,2022.0,Essence,Manuelle,4.0,1.0,120.0,blanc,7.0
80unique en tunisie,Audi,Audi 80,neuf,1989.0,Essence,Manuelle,7.0,1.8,300000.0,noir,18.0
Fcr a vendre Algérie,Audi,Audi 80,occasion,1980.0,Diesel,Manuelle,8.0,1.0,20000.0,noir,5.0
Audi 80 essence,Audi,Audi 80,occasion,1991.0,Essence,Manuelle,7.0,1.8,300.0,gris,17.5
A1,Audi,Audi A1,neuf,2012.0,Essence,Manuelle,5.0,1.2,179000.0,rouge,35.5
A1 COUPÉ,Audi,Audi A1,occasion,2012.0,Essence,Manuelle,5.0,1.2,179000.0,rouge,35.5
A1,Audi,Audi A1,occasion,2012.0,Essence,Manuelle,5.0,1.2,179000.0,rouge,35.8
Car red car,Audi,Audi A1,occasion,2012.0,Diesel,Manuelle,6.0,1.2,125000.0,rouge,36.0
A1,Audi,Audi A1,occasion,2012.0,Essence,Manuelle,5.0,1.4,178000.0,rouge,36.5
Audi A3 Sline,Audi,Audi A3,neuf,2017.0,Essence,Automatique,6.0,1.2,150000.0,gris,68.0
Audi A3 Sline,Audi,Audi A3,neuf,2018.0,Essence,Automatique,6.0,1.2,120000.0,gris,76.0
Audi A3 S_line 20TDI ponçionner,Audi,Audi A3,occasion,2004.0,Diesel,Manuelle,8.0,2.0,240.0,noir,19.7
Audi,Audi,Audi A3,occasion,2008.0,Diesel,Manuelle,6.0,1.9,340000.0,noir,39.0
A vendre une  A3,Audi,Audi A3,occasion,2008.0,Diesel,Manuelle,6.0,1.9,440000.0,noir,34.0
Audi a3,Audi,Audi A3,occasion,2008.0,Essence,Manuelle,5.0,1.4,230000.0,noir,35.5
Audi A3 SLine,Audi,Audi A3,occasion,2009.0,Essence,Manuelle,6.0,1.6,220000.0,noir,38.0
audi a3 sportback 19 tdi 3 portes,Audi,Audi A3,occasion,2009.0,Diesel,Manuelle,6.0,1.9,258000.0,gris,30.0
Audi A3 Sportback diesel 16,Audi,Audi A3,occasion,2010.0,Diesel,Manuelle,6.0,1.6,250000.0,blanc,37.0
Audi a3,Audi,Audi A3,occasion,2012.0,Essence,Automatique,6.0,1.6,277.0,bleu,42.0
Audi A3 Sportback,Audi,Audi A3,occasion,2014.0,Diesel,Manuelle,6.0,1.6,240000.0,Autres,54.0
Audi A3,Audi,Audi A3,occasion,2014.0,Diesel,Manuelle,5.0,1.6,170.0,noir,111.111
A3,Audi,Audi A3,occasion,2015.0,Essence,Automatique,10.0,1.8,153000.0,blanc,67.0
A3,Audi,Audi A3,occasion,2015.0,Essence,Manuelle,10.0,1.8,208000.0,blanc,55.0
Audi A3,Audi,Audi A3,occasion,2016.0,Essence,Manuelle,6.0,1.2,220.0,gris,55.0
Audi A3 berline,Audi,Audi A3,occasion,2018.0,Essence,Automatique,6.0,1.2,146000.0,noir,85.0
A3   2019 108 000,Audi,Audi A3,occasion,2019.0,Essence,Manuelle,6.0,1.2,108000.0,noir,69.0
Audi a4,Audi,Audi A4,neuf,2006.0,Essence,Manuelle,7.0,1.6,300000.0,noir,30.0
Audi A4,Audi,Audi A4,neuf,2011.0,Essence,Manuelle,9.0,1.8,200.0,crème,36.0
Audi A4 Essence 2013,Audi,Audi A4,neuf,2013.0,Essence,Manuelle,7.0,1.8,248705.0,noir,45.0
A4,Audi,Audi A4,neuf,2018.0,Essence,Automatique,8.0,1.8,200.0,noir,78.0
audi a4 b5 à vendre,Audi,Audi A4,occasion,1999.0,Essence,Manuelle,7.0,1.6,174.0,noir,16.5
Audi,Audi,Audi A4,occasion,2002.0,Essence,Manuelle,7.0,2.0,111.0,gris,20.0
Audi A4,Audi,Audi A4,occasion,2002.0,Essence,Manuelle,7.0,1.6,300000.0,noir,23.0
Audi A4,Audi,Audi A4,occasion,2002.0,Essence,Manuelle,7.0,2.2,193.0,noir,22.0
Audi a4,Audi,Audi A4,occasion,2004.0,Diesel,Automatique,7.0,1.9,370000.0,bleu,25.5
Karhba ndhifa mte3 ksiba,Audi,Audi A4,occasion,2004.0,Diesel,Automatique,7.0,1.9,300.0,bleu,123.456
