,Brand,Model,Status,Fuel_Type,Transmission,Horse_power,Age,MileagePerYear,Price
0,Alfa Romeo,156,occasion,Essence,Manuelle,8.0,24,12500,111110.0
1,Alfa Romeo,159,occasion,Diesel,Manuelle,6.0,16,12500,26500.0
2,Alfa Romeo,Giulietta,occasion,Essence,Manuelle,7.0,9,18891,38000.0
3,Alfa Romeo,Giulietta,occasion,Essence,Automatique,9.0,9,20222,43000.0
4,Alfa Romeo,Mito,occasion,Essence,Manuelle,9.0,14,10714,36900.0
5,Alfa Romeo,Mito,occasion,Essence,Manuelle,5.0,13,13692,32000.0
6,Alfa Romeo,Mito,occasion,Essence,Manuelle,6.0,11,16363,28000.0
7,Renault,Clio,occasion,Hybride,Automatique,5.0,0,0,110000.0
8,Audi,100,occasion,Diesel,Manuelle,7.0,38,3588,11000.0
9,Audi,50,occasion,Essence,Manuelle,4.0,2,68179,7000.0
10,Audi,80,occasion,Essence,Manuelle,7.0,35,8571,18000.0
11,Audi,80,occasion,Diesel,Manuelle,8.0,44,3099,5000.0
12,Audi,80,occasion,Essence,Manuelle,7.0,33,4132,17500.0
13,Audi,A1,occasion,Essence,Manuelle,5.0,12,14916,35500.0
15,Audi,A1,occasion,Essence,Manuelle,5.0,12,14916,35800.0
16,Audi,A1,occasion,Diesel,Manuelle,6.0,12,10416,36000.0
17,Audi,A1,occasion,Essence,Manuelle,5.0,12,14833,36500.0
18,Audi,A3,occasion,Essence,Automatique,6.0,7,21428,68000.0
19,Audi,A3,occasion,Essence,Automatique,6.0,6,20000,76000.0
20,Audi,A3,occasion,Diesel,Manuelle,8.0,20,6817,19700.0
21,Audi,A3,occasion,Diesel,Manuelle,6.0,16,21250,39000.0
22,Audi,A3,occasion,Diesel,Manuelle,6.0,16,27500,34000.0
23,Audi,A3,occasion,Essence,Manuelle,5.0,16,14375,35500.0
24,Audi,A3,occasion,Essence,Manuelle,6.0,15,14666,38000.0
25,Audi,A3,occasion,Diesel,Manuelle,6.0,15,17200,30000.0
26,Audi,A3,occasion,Diesel,Manuelle,6.0,14,17857,37000.0
27,Audi,A3,occasion,Essence,Automatique,6.0,12,11363,42000.0
28,Audi,A3,occasion,Diesel,Manuelle,6.0,10,24000,54000.0
29,Audi,A3,occasion,Diesel,Manuelle,5.0,10,13635,111111.0
30,Audi,A3,occasion,Essence,Automatique,10.0,9,17000,67000.0
31,Audi,A3,occasion,Essence,Manuelle,10.0,9,23111,55000.0
32,Audi,A3,occasion,Essence,Manuelle,6.0,8,17044,55000.0
