Brand,Model,Status,Fuel_type,Transmission,Puissance fiscale,Age,MileagePerYear,Price
alfa-romeo,giulia 2.0-turbo-bva-super,neuf,Essence,Automatique,11CV,0,0,198 000DTTTC
alfa-romeo,stelvio 2.0-turbo-q4-bva,neuf,Essence,Automatique,17CV,0,0,265 000DTTTC
audi,a3-sportback 35-tfsi-advanced-line,neuf,Essence,Automatique,8CV,0,0,145 000DTTTC
audi,a3-berline 35-tfsi-business-extended,neuf,Essence,Automatique,8CV,0,0,149 000DTTTC
audi,a4 35-tfsi-s-tronic-business-line-plus,neuf,Essence,Automatique,8CV,0,0,198 000DTTTC
audi,a6 40-tfsi-s-tronic-s-line-2023,neuf,Essence,Automatique,11CV,0,0,295 000DTTTC
audi,q2 35-tfsi-s-tronic-s-line-2023,neuf,Essence,Automatique,8CV,0,0,159 000DTTTC
audi,q3 35-tfsi-s-tronic-advanced-line,neuf,Essence,Automatique,9CV,0,0,205 000DTTTC
audi,q3-sportback 35-tfsi-s-tronic-business-limited,neuf,Essence,Automatique,9CV,0,0,235 000DTTTC
audi,q7 2.0-l-tfsi-quattro-bva-s-line-7-places-2021,neuf,Essence,Automatique,16CV,0,0,445 000DTTTC
audi,q8-e-tron 55-e-quattro-advanced-line,neuf,Electrique,Automatique,12CV,0,0,299 000DTTTC
audi,q8-sportback-e-tron 55-e-quattro-s-line,neuf,Electrique,Automatique,12CV,0,0,349 000DTTTC
audi,e-tron-gt quattro,neuf,Electrique,Automatique,37CV,0,0,360 000DTTTC
bako,bee start#specs,neuf,Electrique,Automatique,1CV,0,0,16 210DTTTC
bako,bee wave#specs,neuf,Electrique,Automatique,1CV,0,0,18 264DTTTC
bako,bee horizons#specs,neuf,Electrique,Automatique,1CV,0,0,21 508DTTTC
bako,evan start#specs,neuf,Electrique,Automatique,N.C,0,0,22 586DTTTC
bako,evan wave#specs,neuf,Electrique,Automatique,N.C,0,0,27 990DTTTC
bako,evan horizons#specs,neuf,Electrique,Automatique,N.C,0,0,32 313DTTTC
