Brand,Model,Status,Fuel_Type,Transmission,Horse_power,Age,MileagePerYear,Price
Alfa Romeo,156,occasion,Essence,Manuelle,8.0,24,12500,111110
Alfa Romeo,159,occasion,Diesel,Manuelle,6.0,16,12500,26500
Alfa Romeo,Giulietta,occasion,Essence,Manuelle,7.0,9,18891,38000
Alfa Romeo,Giulietta,occasion,Essence,Automatique,9.0,9,20222,43000
Alfa Romeo,Mito,occasion,Essence,Manuelle,9.0,14,10714,36900
Alfa Romeo,Mito,occasion,Essence,Manuelle,5.0,13,13692,32000
Alfa Romeo,Mito,occasion,Essence,Manuelle,6.0,11,16363,28000
Renault,Clio,occasion,Hybride,Automatique,5.0,0,0,110000
Audi,100,occasion,Diesel,Manuelle,7.0,38,3588,11000
Audi,50,occasion,Essence,Manuelle,4.0,2,68179,7000
Audi,80,occasion,Essence,Manuelle,7.0,35,8571,18000
Audi,80,occasion,Diesel,Manuelle,8.0,44,3099,5000
Audi,80,occasion,Essence,Manuelle,7.0,33,4132,17500
Audi,A1,occasion,Essence,Manuelle,5.0,12,14916,35500
Audi,A1,occasion,Essence,Manuelle,5.0,12,14916,35500
Audi,A1,occasion,Essence,Manuelle,5.0,12,14916,35800
Audi,A1,occasion,Diesel,Manuelle,6.0,12,10416,36000
Audi,A1,occasion,Essence,Manuelle,5.0,12,14833,36500
Audi,A3,occasion,Essence,Automatique,6.0,7,21428,68000
Audi,A3,occasion,Essence,Automatique,6.0,6,20000,76000
Audi,A3,occasion,Diesel,Manuelle,8.0,20,6817,19700
Audi,A3,occasion,Diesel,Manuelle,6.0,16,21250,39000
Audi,A3,occasion,Diesel,Manuelle,6.0,16,27500,34000
Audi,A3,occasion,Essence,Manuelle,5.0,16,14375,35500
Audi,A3,occasion,Essence,Manuelle,6.0,15,14666,38000
Audi,A3,occasion,Diesel,Manuelle,6.0,15,17200,30000
Audi,A3,occasion,Diesel,Manuelle,6.0,14,17857,37000
Audi,A3,occasion,Essence,Automatique,6.0,12,11363,42000
Audi,A3,occasion,Diesel,Manuelle,6.0,10,24000,54000
Audi,A3,occasion,Diesel,Manuelle,5.0,10,13635,111111
Audi,A3,occasion,Essence,Automatique,10.0,9,17000,67000
Audi,A3,occasion,Essence,Manuelle,10.0,9,23111,55000
Audi,A3,occasion,Essence,Manuelle,6.0,8,17044,55000
Audi,A3,occasion,Essence,Automatique,6.0,6,24333,85000
Audi,A3,occasion,Essence,Manuelle,6.0,5,21600,69000
Audi,A4,occasion,Essence,Manuelle,7.0,18,16666,30000
Audi,A4,occasion,Essence,Manuelle,9.0,13,10489,36000
Audi,A4,occasion,Essence,Manuelle,7.0,11,22609,45000
Audi,A4,occasion,Essence,Automatique,8.0,6,22726,78000
Audi,A4,occasion,Essence,Manuelle,7.0,25,5454,16500
Audi,A4,occasion,Essence,Manuelle,7.0,22,6198,20000
Audi,A4,occasion,Essence,Manuelle,7.0,22,13636,23000
Audi,A4,occasion,Essence,Manuelle,7.0,22,6198,22000
Audi,A4,occasion,Diesel,Automatique,7.0,20,18500,25500
Audi,A4,occasion,Diesel,Automatique,7.0,20,6817,123456
Audi,A4,occasion,Diesel,Manuelle,7.0,20,6817,12345
Audi,A4,occasion,Essence,Automatique,10.0,18,7575,32000
Audi,A4,occasion,Essence,Manuelle,7.0,18,7575,25000
Audi,A4,occasion,Essence,Manuelle,7.0,18,7575,18000
Audi,A4,occasion,Diesel,Manuelle,7.0,17,8021,29000
Audi,A4,occasion,Essence,Manuelle,7.0,14,25714,39500
Audi,A4,occasion,Diesel,Manuelle,8.0,14,13642,42000
Audi,A4,occasion,Essence,Automatique,7.0,14,12078,33000
Audi,A4,occasion,Diesel,Manuelle,6.0,14,11928,50000
Audi,A4,occasion,Essence,Manuelle,7.0,13,9692,37900
